"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JavaScript JSX", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\UpdateVisitor.tsx", "TypeScript JSX", 0, -163, 0, 0, 0, 0, -2, -26, -191
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\UpdateVisitorForm.tsx", "TypeScript JSX", 0, -275, 0, 0, 0, 0, -35, -44, -354
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\Users.tsx", "TypeScript JSX", 0, -169, 0, 0, 0, 0, -2, -16, -187
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\VisitDateReport.tsx", "TypeScript JSX", 0, -218, 0, 0, 0, 0, -3, -45, -266
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\VisitingInfo.tsx", "TypeScript JSX", 0, -288, 0, 0, 0, 0, -5, -43, -336
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\VisitorEntry.tsx", "TypeScript JSX", 0, -202, 0, 0, 0, 0, -29, -27, -258
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\VisitorImage.tsx", "TypeScript JSX", 0, -41, 0, 0, 0, 0, 0, -17, -58
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\VisitorReport.tsx", "TypeScript JSX", 0, -226, 0, 0, 0, 0, -3, -47, -276
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\Visitors.tsx", "TypeScript JSX", 0, -220, 0, 0, 0, 0, -2, -12, -234
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\changePassword.tsx", "TypeScript JSX", 0, -103, 0, 0, 0, 0, -8, -10, -121
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\signatureComponent\CanvasModal.css", "CSS", 0, 0, -62, 0, 0, 0, 0, -8, -70
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\signatureComponent\CanvasModal.jsx", "JavaScript JSX", 0, 0, 0, -133, 0, 0, -1, -14, -148
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\signatureComponent\STPadServerLib-3.3.0.js", "JavaScript", 0, 0, 0, 0, 0, -2413, -73, -82, -2568
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\signatureComponent\SignatureCapture.jsx", "JavaScript JSX", 0, 0, 0, -206, 0, 0, -6, -19, -231
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\signotec\CustomLib.tsx", "TypeScript JSX", 0, -347, 0, 0, 0, 0, -117, -56, -520
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\signotec\STPadServerLib-3.3.0.js", "JavaScript", 0, 0, 0, 0, 0, -610, -3, -45, -658
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\signotec\bluebird.min.js", "JavaScript", 0, 0, 0, 0, 0, -3, -29, 0, -32
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\styles\App.css", "CSS", 0, 0, -33, 0, 0, 0, 0, -6, -39
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\styles\index.css", "CSS", 0, 0, -103, 0, 0, 0, -6, -15, -124
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\styles\styles.css", "CSS", 0, 0, -32, 0, 0, 0, -5, -11, -48
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\utils\LoginInfo.ts", "TypeScript", -18, 0, 0, 0, 0, 0, 0, 0, -18
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\vite-env.d.ts", "TypeScript", -5, 0, 0, 0, 0, 0, -1, -1, -7
"Total", "-", 1121, -4599, -230, -422, -1, -3026, -337, -432, -7926
